0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,0
19 aciertos,0
20 aciertos,0
21 aciertos,0
22 aciertos,1
23 aciertos,2
24 aciertos,1
25 aciertos,0
26 aciertos,0
27 aciertos,2
28 aciertos,1
29 aciertos,1
30 aciertos,0
31 aciertos,4
32 aciertos,3
33 aciertos,2
34 aciertos,5
35 aciertos,5
36 aciertos,1
37 aciertos,3
38 aciertos,6
39 aciertos,12
40 aciertos,4
41 aciertos,4
42 aciertos,7
43 aciertos,9
44 aciertos,6
45 aciertos,14
46 aciertos,8
47 aciertos,9
48 aciertos,11
49 aciertos,12
50 aciertos,13
51 aciertos,14
52 aciertos,11
53 aciertos,7
54 aciertos,15
55 aciertos,17
56 aciertos,11
57 aciertos,9
58 aciertos,14
59 aciertos,1
60 aciertos,18
61 aciertos,11
62 aciertos,7
63 aciertos,13
64 aciertos,6
65 aciertos,8
66 aciertos,5
67 aciertos,11
68 aciertos,8
69 aciertos,9
70 aciertos,9
71 aciertos,6
72 aciertos,9
73 aciertos,6
74 aciertos,8
75 aciertos,11
76 aciertos,10
77 aciertos,5
78 aciertos,14
79 aciertos,10
80 aciertos,5
81 aciertos,11
82 aciertos,7
83 aciertos,10
84 aciertos,12
85 aciertos,12
86 aciertos,9
87 aciertos,7
88 aciertos,8
89 aciertos,6
90 aciertos,4
91 aciertos,6
92 aciertos,7
93 aciertos,4
94 aciertos,4
95 aciertos,6
96 aciertos,4
97 aciertos,11
98 aciertos,6
99 aciertos,2
100 aciertos,4
101 aciertos,4
102 aciertos,3
103 aciertos,4
104 aciertos,5
105 aciertos,3
106 aciertos,2
107 aciertos,3
108 aciertos,3
109 aciertos,5
110 aciertos,2
111 aciertos,2
112 aciertos,6
113 aciertos,1
114 aciertos,1
115 aciertos,0
116 aciertos,0
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
