0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,1
19 aciertos,2
20 aciertos,0
21 aciertos,0
22 aciertos,0
23 aciertos,3
24 aciertos,0
25 aciertos,1
26 aciertos,4
27 aciertos,3
28 aciertos,6
29 aciertos,7
30 aciertos,13
31 aciertos,8
32 aciertos,24
33 aciertos,8
34 aciertos,14
35 aciertos,20
36 aciertos,22
37 aciertos,28
38 aciertos,27
39 aciertos,26
40 aciertos,25
41 aciertos,31
42 aciertos,29
43 aciertos,43
44 aciertos,33
45 aciertos,38
46 aciertos,32
47 aciertos,34
48 aciertos,35
49 aciertos,30
50 aciertos,31
51 aciertos,46
52 aciertos,34
53 aciertos,41
54 aciertos,35
55 aciertos,36
56 aciertos,27
57 aciertos,33
58 aciertos,26
59 aciertos,34
60 aciertos,25
61 aciertos,21
62 aciertos,34
63 aciertos,33
64 aciertos,19
65 aciertos,17
66 aciertos,19
67 aciertos,27
68 aciertos,31
69 aciertos,20
70 aciertos,30
71 aciertos,23
72 aciertos,14
73 aciertos,13
74 aciertos,22
75 aciertos,19
76 aciertos,18
77 aciertos,13
78 aciertos,17
79 aciertos,11
80 aciertos,20
81 aciertos,12
82 aciertos,10
83 aciertos,9
84 aciertos,13
85 aciertos,8
86 aciertos,7
87 aciertos,9
88 aciertos,11
89 aciertos,11
90 aciertos,10
91 aciertos,4
92 aciertos,9
93 aciertos,7
94 aciertos,11
95 aciertos,7
96 aciertos,8
97 aciertos,6
98 aciertos,7
99 aciertos,9
100 aciertos,4
101 aciertos,5
102 aciertos,3
103 aciertos,3
104 aciertos,3
105 aciertos,4
106 aciertos,3
107 aciertos,4
108 aciertos,4
109 aciertos,1
110 aciertos,1
111 aciertos,1
112 aciertos,0
113 aciertos,1
114 aciertos,0
115 aciertos,1
116 aciertos,0
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
