0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,1
17 aciertos,0
18 aciertos,0
19 aciertos,2
20 aciertos,0
21 aciertos,0
22 aciertos,1
23 aciertos,1
24 aciertos,4
25 aciertos,3
26 aciertos,5
27 aciertos,2
28 aciertos,7
29 aciertos,12
30 aciertos,12
31 aciertos,16
32 aciertos,17
33 aciertos,23
34 aciertos,35
35 aciertos,33
36 aciertos,37
37 aciertos,49
38 aciertos,38
39 aciertos,43
40 aciertos,33
41 aciertos,36
42 aciertos,26
43 aciertos,39
44 aciertos,48
45 aciertos,47
46 aciertos,61
47 aciertos,47
48 aciertos,37
49 aciertos,38
50 aciertos,38
51 aciertos,43
52 aciertos,50
53 aciertos,43
54 aciertos,28
55 aciertos,33
56 aciertos,34
57 aciertos,31
58 aciertos,34
59 aciertos,22
60 aciertos,39
61 aciertos,22
62 aciertos,25
63 aciertos,31
64 aciertos,22
65 aciertos,22
66 aciertos,19
67 aciertos,21
68 aciertos,19
69 aciertos,28
70 aciertos,19
71 aciertos,11
72 aciertos,18
73 aciertos,10
74 aciertos,15
75 aciertos,10
76 aciertos,17
77 aciertos,9
78 aciertos,10
79 aciertos,11
80 aciertos,12
81 aciertos,16
82 aciertos,10
83 aciertos,7
84 aciertos,13
85 aciertos,5
86 aciertos,11
87 aciertos,7
88 aciertos,7
89 aciertos,11
90 aciertos,7
91 aciertos,6
92 aciertos,5
93 aciertos,11
94 aciertos,6
95 aciertos,7
96 aciertos,6
97 aciertos,1
98 aciertos,7
99 aciertos,1
100 aciertos,2
101 aciertos,0
102 aciertos,2
103 aciertos,5
104 aciertos,3
105 aciertos,3
106 aciertos,6
107 aciertos,2
108 aciertos,1
109 aciertos,2
110 aciertos,2
111 aciertos,3
112 aciertos,4
113 aciertos,2
114 aciertos,1
115 aciertos,2
116 aciertos,0
117 aciertos,1
118 aciertos,0
119 aciertos,0
120 aciertos,0
