0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,0
19 aciertos,0
20 aciertos,0
21 aciertos,1
22 aciertos,0
23 aciertos,0
24 aciertos,0
25 aciertos,0
26 aciertos,0
27 aciertos,0
28 aciertos,0
29 aciertos,3
30 aciertos,1
31 aciertos,1
32 aciertos,1
33 aciertos,1
34 aciertos,1
35 aciertos,0
36 aciertos,0
37 aciertos,1
38 aciertos,2
39 aciertos,2
40 aciertos,1
41 aciertos,5
42 aciertos,4
43 aciertos,3
44 aciertos,1
45 aciertos,4
46 aciertos,4
47 aciertos,8
48 aciertos,4
49 aciertos,8
50 aciertos,5
51 aciertos,7
52 aciertos,0
53 aciertos,12
54 aciertos,5
55 aciertos,5
56 aciertos,6
57 aciertos,8
58 aciertos,4
59 aciertos,5
60 aciertos,5
61 aciertos,5
62 aciertos,7
63 aciertos,6
64 aciertos,6
65 aciertos,5
66 aciertos,1
67 aciertos,5
68 aciertos,7
69 aciertos,2
70 aciertos,2
71 aciertos,3
72 aciertos,4
73 aciertos,5
74 aciertos,2
75 aciertos,3
76 aciertos,5
77 aciertos,2
78 aciertos,4
79 aciertos,3
80 aciertos,1
81 aciertos,3
82 aciertos,3
83 aciertos,2
84 aciertos,1
85 aciertos,1
86 aciertos,2
87 aciertos,6
88 aciertos,3
89 aciertos,2
90 aciertos,1
91 aciertos,2
92 aciertos,4
93 aciertos,0
94 aciertos,0
95 aciertos,2
96 aciertos,4
97 aciertos,4
98 aciertos,1
99 aciertos,4
100 aciertos,1
101 aciertos,0
102 aciertos,1
103 aciertos,1
104 aciertos,0
105 aciertos,1
106 aciertos,0
107 aciertos,3
108 aciertos,2
109 aciertos,2
110 aciertos,0
111 aciertos,0
112 aciertos,0
113 aciertos,0
114 aciertos,0
115 aciertos,0
116 aciertos,2
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
