0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,1
19 aciertos,0
20 aciertos,0
21 aciertos,0
22 aciertos,1
23 aciertos,1
24 aciertos,7
25 aciertos,9
26 aciertos,3
27 aciertos,9
28 aciertos,12
29 aciertos,4
30 aciertos,21
31 aciertos,22
32 aciertos,24
33 aciertos,34
34 aciertos,35
35 aciertos,42
36 aciertos,52
37 aciertos,40
38 aciertos,54
39 aciertos,34
40 aciertos,46
41 aciertos,60
42 aciertos,44
43 aciertos,65
44 aciertos,53
45 aciertos,48
46 aciertos,40
47 aciertos,59
48 aciertos,50
49 aciertos,51
50 aciertos,43
51 aciertos,40
52 aciertos,47
53 aciertos,51
54 aciertos,42
55 aciertos,46
56 aciertos,34
57 aciertos,29
58 aciertos,36
59 aciertos,27
60 aciertos,23
61 aciertos,25
62 aciertos,19
63 aciertos,27
64 aciertos,19
65 aciertos,17
66 aciertos,20
67 aciertos,16
68 aciertos,17
69 aciertos,19
70 aciertos,16
71 aciertos,17
72 aciertos,14
73 aciertos,10
74 aciertos,4
75 aciertos,10
76 aciertos,7
77 aciertos,8
78 aciertos,7
79 aciertos,4
80 aciertos,12
81 aciertos,9
82 aciertos,5
83 aciertos,6
84 aciertos,7
85 aciertos,3
86 aciertos,4
87 aciertos,9
88 aciertos,10
89 aciertos,5
90 aciertos,4
91 aciertos,5
92 aciertos,6
93 aciertos,4
94 aciertos,4
95 aciertos,2
96 aciertos,5
97 aciertos,2
98 aciertos,4
99 aciertos,1
100 aciertos,1
101 aciertos,3
102 aciertos,1
103 aciertos,3
104 aciertos,4
105 aciertos,2
106 aciertos,2
107 aciertos,2
108 aciertos,2
109 aciertos,2
110 aciertos,1
111 aciertos,1
112 aciertos,0
113 aciertos,0
114 aciertos,1
115 aciertos,1
116 aciertos,0
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
