0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,1
5 aciertos,0
6 aciertos,2
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,1
17 aciertos,0
18 aciertos,0
19 aciertos,2
20 aciertos,1
21 aciertos,3
22 aciertos,1
23 aciertos,5
24 aciertos,6
25 aciertos,14
26 aciertos,21
27 aciertos,35
28 aciertos,38
29 aciertos,52
30 aciertos,69
31 aciertos,62
32 aciertos,95
33 aciertos,121
34 aciertos,139
35 aciertos,155
36 aciertos,175
37 aciertos,178
38 aciertos,205
39 aciertos,197
40 aciertos,249
41 aciertos,238
42 aciertos,253
43 aciertos,231
44 aciertos,273
45 aciertos,254
46 aciertos,260
47 aciertos,272
48 aciertos,279
49 aciertos,263
50 aciertos,270
51 aciertos,281
52 aciertos,295
53 aciertos,246
54 aciertos,277
55 aciertos,277
56 aciertos,267
57 aciertos,238
58 aciertos,238
59 aciertos,213
60 aciertos,242
61 aciertos,209
62 aciertos,230
63 aciertos,208
64 aciertos,197
65 aciertos,208
66 aciertos,186
67 aciertos,164
68 aciertos,182
69 aciertos,159
70 aciertos,152
71 aciertos,133
72 aciertos,129
73 aciertos,138
74 aciertos,132
75 aciertos,134
76 aciertos,119
77 aciertos,122
78 aciertos,112
79 aciertos,106
80 aciertos,97
81 aciertos,113
82 aciertos,94
83 aciertos,110
84 aciertos,95
85 aciertos,102
86 aciertos,94
87 aciertos,74
88 aciertos,81
89 aciertos,81
90 aciertos,77
91 aciertos,76
92 aciertos,86
93 aciertos,65
94 aciertos,66
95 aciertos,73
96 aciertos,65
97 aciertos,59
98 aciertos,66
99 aciertos,39
100 aciertos,57
101 aciertos,61
102 aciertos,42
103 aciertos,51
104 aciertos,56
105 aciertos,49
106 aciertos,51
107 aciertos,49
108 aciertos,54
109 aciertos,47
110 aciertos,45
111 aciertos,31
112 aciertos,44
113 aciertos,28
114 aciertos,28
115 aciertos,32
116 aciertos,16
117 aciertos,6
118 aciertos,7
119 aciertos,3
120 aciertos,0
