0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,1
18 aciertos,1
19 aciertos,1
20 aciertos,0
21 aciertos,6
22 aciertos,3
23 aciertos,6
24 aciertos,10
25 aciertos,11
26 aciertos,8
27 aciertos,19
28 aciertos,34
29 aciertos,39
30 aciertos,50
31 aciertos,63
32 aciertos,70
33 aciertos,71
34 aciertos,88
35 aciertos,117
36 aciertos,111
37 aciertos,139
38 aciertos,111
39 aciertos,151
40 aciertos,166
41 aciertos,157
42 aciertos,169
43 aciertos,181
44 aciertos,181
45 aciertos,166
46 aciertos,175
47 aciertos,148
48 aciertos,172
49 aciertos,151
50 aciertos,155
51 aciertos,156
52 aciertos,149
53 aciertos,125
54 aciertos,142
55 aciertos,160
56 aciertos,129
57 aciertos,116
58 aciertos,116
59 aciertos,121
60 aciertos,101
61 aciertos,103
62 aciertos,88
63 aciertos,102
64 aciertos,94
65 aciertos,77
66 aciertos,93
67 aciertos,71
68 aciertos,63
69 aciertos,75
70 aciertos,59
71 aciertos,63
72 aciertos,67
73 aciertos,53
74 aciertos,56
75 aciertos,53
76 aciertos,53
77 aciertos,50
78 aciertos,30
79 aciertos,45
80 aciertos,35
81 aciertos,45
82 aciertos,44
83 aciertos,39
84 aciertos,35
85 aciertos,30
86 aciertos,30
87 aciertos,36
88 aciertos,24
89 aciertos,21
90 aciertos,18
91 aciertos,23
92 aciertos,24
93 aciertos,23
94 aciertos,18
95 aciertos,17
96 aciertos,22
97 aciertos,26
98 aciertos,17
99 aciertos,10
100 aciertos,13
101 aciertos,14
102 aciertos,13
103 aciertos,7
104 aciertos,11
105 aciertos,9
106 aciertos,4
107 aciertos,9
108 aciertos,5
109 aciertos,7
110 aciertos,3
111 aciertos,3
112 aciertos,4
113 aciertos,1
114 aciertos,3
115 aciertos,1
116 aciertos,2
117 aciertos,0
118 aciertos,1
119 aciertos,0
120 aciertos,0
