0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,0
19 aciertos,0
20 aciertos,1
21 aciertos,0
22 aciertos,1
23 aciertos,1
24 aciertos,8
25 aciertos,2
26 aciertos,9
27 aciertos,10
28 aciertos,17
29 aciertos,20
30 aciertos,30
31 aciertos,41
32 aciertos,44
33 aciertos,55
34 aciertos,58
35 aciertos,57
36 aciertos,77
37 aciertos,90
38 aciertos,83
39 aciertos,97
40 aciertos,85
41 aciertos,99
42 aciertos,84
43 aciertos,90
44 aciertos,95
45 aciertos,88
46 aciertos,76
47 aciertos,104
48 aciertos,86
49 aciertos,84
50 aciertos,72
51 aciertos,71
52 aciertos,67
53 aciertos,80
54 aciertos,53
55 aciertos,61
56 aciertos,72
57 aciertos,69
58 aciertos,49
59 aciertos,57
60 aciertos,61
61 aciertos,57
62 aciertos,44
63 aciertos,49
64 aciertos,47
65 aciertos,39
66 aciertos,43
67 aciertos,39
68 aciertos,26
69 aciertos,36
70 aciertos,34
71 aciertos,34
72 aciertos,24
73 aciertos,24
74 aciertos,24
75 aciertos,33
76 aciertos,17
77 aciertos,25
78 aciertos,13
79 aciertos,13
80 aciertos,19
81 aciertos,20
82 aciertos,13
83 aciertos,13
84 aciertos,14
85 aciertos,15
86 aciertos,14
87 aciertos,14
88 aciertos,21
89 aciertos,14
90 aciertos,16
91 aciertos,12
92 aciertos,17
93 aciertos,8
94 aciertos,12
95 aciertos,11
96 aciertos,11
97 aciertos,14
98 aciertos,10
99 aciertos,5
100 aciertos,7
101 aciertos,6
102 aciertos,4
103 aciertos,7
104 aciertos,5
105 aciertos,10
106 aciertos,3
107 aciertos,11
108 aciertos,4
109 aciertos,2
110 aciertos,1
111 aciertos,3
112 aciertos,4
113 aciertos,1
114 aciertos,0
115 aciertos,0
116 aciertos,2
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
