0 aciertos,0
1 aciertos,0
2 aciertos,0
3 aciertos,0
4 aciertos,0
5 aciertos,0
6 aciertos,0
7 aciertos,0
8 aciertos,0
9 aciertos,0
10 aciertos,0
11 aciertos,0
12 aciertos,0
13 aciertos,0
14 aciertos,0
15 aciertos,0
16 aciertos,0
17 aciertos,0
18 aciertos,0
19 aciertos,1
20 aciertos,1
21 aciertos,0
22 aciertos,2
23 aciertos,6
24 aciertos,1
25 aciertos,9
26 aciertos,13
27 aciertos,13
28 aciertos,13
29 aciertos,14
30 aciertos,17
31 aciertos,29
32 aciertos,23
33 aciertos,42
34 aciertos,26
35 aciertos,33
36 aciertos,52
37 aciertos,46
38 aciertos,46
39 aciertos,52
40 aciertos,55
41 aciertos,54
42 aciertos,68
43 aciertos,58
44 aciertos,58
45 aciertos,50
46 aciertos,58
47 aciertos,57
48 aciertos,44
49 aciertos,59
50 aciertos,47
51 aciertos,35
52 aciertos,57
53 aciertos,40
54 aciertos,42
55 aciertos,45
56 aciertos,36
57 aciertos,22
58 aciertos,31
59 aciertos,38
60 aciertos,28
61 aciertos,29
62 aciertos,22
63 aciertos,23
64 aciertos,22
65 aciertos,31
66 aciertos,16
67 aciertos,12
68 aciertos,17
69 aciertos,14
70 aciertos,19
71 aciertos,11
72 aciertos,19
73 aciertos,7
74 aciertos,18
75 aciertos,11
76 aciertos,13
77 aciertos,7
78 aciertos,9
79 aciertos,4
80 aciertos,16
81 aciertos,7
82 aciertos,6
83 aciertos,5
84 aciertos,3
85 aciertos,3
86 aciertos,5
87 aciertos,7
88 aciertos,4
89 aciertos,3
90 aciertos,9
91 aciertos,3
92 aciertos,4
93 aciertos,4
94 aciertos,6
95 aciertos,4
96 aciertos,0
97 aciertos,2
98 aciertos,2
99 aciertos,3
100 aciertos,2
101 aciertos,1
102 aciertos,4
103 aciertos,1
104 aciertos,2
105 aciertos,1
106 aciertos,2
107 aciertos,2
108 aciertos,1
109 aciertos,0
110 aciertos,1
111 aciertos,1
112 aciertos,0
113 aciertos,0
114 aciertos,0
115 aciertos,0
116 aciertos,0
117 aciertos,0
118 aciertos,0
119 aciertos,0
120 aciertos,0
